customer_id,Recency,Frequency,Monetary,ComplaintCnt,Tenure,AvgOrder,Segment_D4,cluster,cluster_name,Churn,churn_probability,churn,risk_level
C0001,108,7,13907,1,886,1987,G6 At Risk,0,穩定中段,0,0.0273,0,Low
C0002,105,2,11296,0,314,5648,G7 Hibernating,0,穩定中段,0,0.5553,1,Medium
C0003,107,1,53757,0,945,53757,G3 Big Spenders,3,流失高風險,0,0.0,0,Low
C0004,13,8,21478,0,2115,2685,G2 Loyal,2,VIP 高頻高額,0,0.0,0,Low
C0005,4,9,21955,0,1973,2439,G2 Loyal,2,VIP 高頻高額,0,0.0,0,Low
C0006,65,3,39526,2,2121,13175,G7 Hibernating,3,流失高風險,1,0.5553,1,Medium
C0007,63,2,15255,0,2980,7628,G7 Hibernating,0,穩定中段,0,0.5553,1,Medium
C0008,141,4,17541,0,697,4385,G8 Lost,0,穩定中段,0,0.0,0,Low
C0009,4,5,30152,1,1349,6030,G5 Potential Loyalists,3,流失高風險,0,0.0,0,Low
C0010,47,10,8275,0,1487,828,G2 Loyal,0,穩定中段,0,0.0,0,Low
C0011,3,7,28418,0,473,4060,G2 Loyal,2,VIP 高頻高額,0,0.0273,0,Low
C0012,49,4,14343,1,1997,3586,G8 Lost,0,穩定中段,0,0.0,0,Low
C0013,78,5,44304,0,175,8861,G6 At Risk,3,流失高風險,0,0.0273,0,Low
C0014,312,0,35691,1,2695,0,G8 Lost,1,沉睡客戶,0,0.9742,1,High
C0015,271,0,32539,3,292,0,G8 Lost,1,沉睡客戶,1,0.9742,1,High
C0016,7,11,7904,0,357,719,G2 Loyal,2,VIP 高頻高額,0,0.0273,0,Low
C0017,4,8,22643,0,545,2830,G2 Loyal,2,VIP 高頻高額,0,0.0273,0,Low
C0018,14,6,10678,0,2679,1780,G5 Potential Loyalists,0,穩定中段,0,0.0,0,Low
C0019,41,9,23723,2,2588,2636,G2 Loyal,2,VIP 高頻高額,0,0.0,0,Low
C0020,19,6,4814,1,2769,802,G5 Potential Loyalists,0,穩定中段,0,0.0,0,Low
C0021,56,8,8279,0,2504,1035,G2 Loyal,0,穩定中段,0,0.0,0,Low
C0022,241,0,55956,1,2773,0,G3 Big Spenders,1,沉睡客戶,0,0.9742,1,High
C0023,83,3,31519,0,1430,10506,G7 Hibernating,3,流失高風險,0,0.5553,1,Medium
C0024,55,3,19003,1,44,6334,G8 Lost,0,穩定中段,0,0.5553,1,Medium
C0025,30,8,12886,0,1331,1611,G2 Loyal,0,穩定中段,0,0.0,0,Low
C0026,19,9,11396,0,686,1266,G2 Loyal,0,穩定中段,0,0.0273,0,Low
C0027,20,3,28004,0,756,9335,G5 Potential Loyalists,3,流失高風險,0,0.0,0,Low
C0028,3,7,19139,0,2082,2734,G2 Loyal,0,穩定中段,0,0.0,0,Low
C0029,8,5,71873,0,525,14375,G3 Big Spenders,3,流失高風險,0,0.0273,0,Low
C0030,31,5,21390,0,985,4278,G8 Lost,0,穩定中段,0,0.0,0,Low
C0031,17,6,25364,0,1196,4227,G5 Potential Loyalists,0,穩定中段,0,0.0,0,Low
C0032,57,7,9210,1,211,1316,G6 At Risk,0,穩定中段,0,0.0273,0,Low
C0033,32,14,18911,1,2112,1351,G2 Loyal,2,VIP 高頻高額,0,0.0,0,Low
C0034,11,5,27554,1,2295,5511,G5 Potential Loyalists,3,流失高風險,0,0.0,0,Low
C0035,21,7,18752,0,1688,2679,G2 Loyal,0,穩定中段,0,0.0,0,Low
C0036,29,15,17328,0,114,1155,G2 Loyal,2,VIP 高頻高額,0,0.0273,0,Low
C0037,15,8,30602,0,2367,3825,G1 VIP(Champions),2,VIP 高頻高額,0,0.0,0,Low
C0038,14,4,70289,1,1354,17572,G3 Big Spenders,3,流失高風險,0,0.0,0,Low
C0039,271,0,26943,1,821,0,G8 Lost,1,沉睡客戶,1,0.9742,1,High
C0040,13,10,54227,0,2844,5423,G1 VIP(Champions),2,VIP 高頻高額,0,0.0,0,Low
