sku_id,sku_name,in_d12_sales
SKU_001,尿布,True
SKU_002,起司,True
SKU_003,啤酒,True
SKU_004,紅酒,True
SKU_005,塑膠袋,True
SKU_006,米,True
SKU_007,可樂,True
SKU_008,醬油,True
SKU_009,礦泉水,True
SKU_010,寶特瓶飲料,True
SKU_011,杯麵,False
SKU_012,麵包,False
SKU_013,果醬,False
SKU_014,雪碧,False
SKU_015,牛奶,False
SKU_016,豆漿,False
SKU_017,蘋果,False
SKU_018,香蕉,False
SKU_019,橘子,False
SKU_020,葡萄,False
SKU_021,餅乾,False
SKU_022,巧克力,False
SKU_023,洋芋片,False
SKU_024,口香糖,False
SKU_025,衛生紙,False
SKU_026,牙膏,False
SKU_027,洗髮精,False
SKU_028,茶包,False
SKU_029,SKU_NEW_001,False
SKU_030,SKU_NEW_002,False
