customer_id,customer_name,address,district,region,temp_zone,join_date,is_store
C001,全聯北屯松竹店,台中市北屯區松竹路二段,北屯,北區,冷藏,2024-03-15,Y
C002,家樂福北屯店,台中市北屯區昌平路一段,北屯,北區,冷藏,2024-04-26,Y
C003,美廉社北屯昌平店,台中市北屯區昌平路二段,北屯,北區,常溫,2025-06-21,Y
C004,7-11 北屯軍功店,台中市北屯區軍功路二段,北屯,北區,常溫,2025-11-06,Y
C005,85 度 C 北屯崇德店,台中市北屯區崇德路二段,北屯,北區,冷藏,2025-10-25,Y
C006,全聯潭子中山店,台中市潭子區中山路二段,潭子,北區,冷藏,2024-06-02,Y
C007,頂好潭子復興店,台中市潭子區復興路三段,潭子,北區,常溫,2024-04-27,Y
C008,家樂福台中店(青海店),台中市西屯區青海路三段,西屯,中區,常溫,2025-01-18,Y
C009,全聯西屯重慶店,台中市西屯區重慶路,西屯,中區,冷藏,2024-08-25,Y
C010,Cama 咖啡西屯朝富店,台中市西屯區朝富路,西屯,中區,冷藏,2024-06-24,Y
C011,全家西屯台灣大道店,台中市西屯區台灣大道三段,西屯,中區,常溫,2024-10-10,Y
C012,全聯南屯文心店,台中市南屯區文心路一段,南屯,中區,冷藏,2025-06-03,Y
C013,家樂福南屯永春店,台中市南屯區永春東路,南屯,中區,常溫,2025-08-18,Y
C014,全聯中區自由店,台中市中區自由路二段,中區,中區,冷藏,2025-01-03,Y
C015,全聯北區雙十店,台中市北區雙十路一段,北區,北區,冷藏,2024-06-18,Y
C016,好市多北區中清店,台中市北區中清路一段,北區,北區,常溫,2025-03-14,Y
C017,全聯東區東英店,台中市東區東英路,東區,中區,冷藏,2025-01-09,Y
C018,全聯大里中興店,台中市大里區中興路二段,大里,南區,冷藏,2024-09-05,Y
C019,全家大里國光店,台中市大里區國光路,大里,南區,常溫,2025-10-02,Y
C020,全聯太平新平店,台中市太平區新平路一段,太平,南區,冷藏,2024-02-18,Y
C021,鬍鬚張北屯店,台中市北屯區崇德路三段,北屯,北區,冷藏,2025-07-13,N
C022,三皇三家西屯店,台中市西屯區青海路二段,西屯,中區,常溫,2025-02-20,N
C023,麻辣鴛鴦鍋南屯店,台中市南屯區大墩路,南屯,中區,冷藏,2025-01-10,N
C024,烤狀猿燒肉北區店,台中市北區進化路,北區,北區,冷藏,2024-05-27,N
C025,鳥開製麵中區自由店,台中市中區自由路三段,中區,中區,常溫,2025-04-28,N
C026,美而美早餐北屯店,台中市北屯區東山路,北屯,北區,冷藏,2024-08-27,N
C027,麥味登早餐西屯店,台中市西屯區福星路,西屯,中區,冷藏,2025-03-26,N
C028,50 嵐南屯店,台中市南屯區公益路二段,南屯,中區,冷藏,2024-10-25,N
C029,Comebuy 北區店,台中市北區三民路三段,北區,北區,冷藏,2024-10-12,N
C030,清心福全大里店,台中市大里區國光路二段,大里,南區,冷藏,2024-04-02,N
C031,豐田汽車台中分公司,台中市西屯區工業區一路,西屯,中區,常溫,2025-08-24,N
C032,永慶房屋總部,台中市西屯區市政北二路,西屯,中區,常溫,2025-09-22,N
C033,福華大飯店台中館,台中市西屯區安和路,西屯,中區,冷藏,2025-02-20,N
C034,金典酒店台中館,台中市西區健行路,西區,中區,冷藏,2024-11-03,N
C035,裕元花園酒店,台中市西屯區台灣大道二段,西屯,中區,冷藏,2024-09-18,N
C036,何嘉仁北屯分校,台中市北屯區文心路四段,北屯,北區,常溫,2025-11-19,N
C037,格倫美語南屯分校,台中市南屯區大墩十一街,南屯,中區,常溫,2025-12-21,N
C038,蒙特梭利幼兒園西屯園,台中市西屯區福科路,西屯,中區,冷藏,2025-06-03,N
C039,張小姐家庭訂購,台中市西屯區文心路二段,西屯,中區,冷藏,2025-05-19,N
C040,李醫師訂購,台中市北屯區四平路,北屯,北區,冷藏,2025-08-04,N
C041,王董訂購,台中市南屯區黎明路三段,南屯,中區,冷藏,2025-04-12,N
C042,全聯南區忠孝店,台中市南區忠孝路,南區,南區,冷藏,2025-11-09,N
C043,家樂福烏日店,台中市烏日區成功西路,烏日,南區,常溫,2024-03-16,N
C044,全家大雅雅潭店,台中市大雅區雅潭路,大雅,北區,常溫,2025-07-26,N
C045,光復國小門口早餐車,台中市北區光復路,北區,北區,冷藏,2024-02-24,N
C046,中科夜市冷飲攤,台中市西屯區福星路三段,西屯,中區,冷藏,2025-04-27,N
C047,巷弄柑仔店北屯點,台中市北屯區興安路一段,北屯,北區,常溫,2024-02-23,N
C048,巷弄柑仔店西屯點,台中市西屯區福雅路,西屯,中區,常溫,2024-11-02,N
C049,中部食材大盤商,台中市西屯區工業區三十八路,西屯,中區,冷藏,2024-12-06,N
C050,中科生鮮配送中心,台中市西屯區科園路,西屯,中區,冷藏,2024-11-01,N
