store_id,store_name,lat,lon,district,demand_kg,temp_zone,tw_open,tw_close,service_min
DEPOT,台中工業區主倉,24.1622,120.598,西屯,0,—,,,0
S01,全聯北屯松竹店,24.1859,120.6892,北屯,180,冷藏,07:00,10:00,15
S02,家樂福北屯店,24.1942,120.6831,北屯,320,冷藏,,,25
S03,美廉社北屯昌平店,24.1773,120.6995,北屯,85,常溫,09:00,12:00,10
S04,7-11 北屯軍功店,24.169,120.7081,北屯,45,常溫,,,8
S05,85 度 C 北屯崇德店,24.1819,120.6792,北屯,8,冷藏,06:30,09:00,5
S06,全聯潭子中山店,24.2087,120.7064,潭子,140,冷藏,07:30,11:00,12
S07,頂好潭子復興店,24.2156,120.6991,潭子,95,常溫,,,10
S08,家樂福台中店(青海店),24.1727,120.6379,西屯,280,常溫,10:00,14:00,22
S09,全聯西屯重慶店,24.1664,120.6485,西屯,165,冷藏,,,14
S10,Cama 咖啡西屯朝富店,24.1611,120.6427,西屯,4,冷藏,06:00,08:30,4
S11,全家西屯台灣大道店,24.1681,120.6303,西屯,35,常溫,11:00,13:00,7
S12,全聯南屯文心店,24.1497,120.6411,南屯,195,冷藏,08:00,11:30,16
S13,家樂福南屯永春店,24.1389,120.6258,南屯,240,常溫,,,20
S14,全聯中區自由店,24.1393,120.6822,中區,75,冷藏,10:00,13:00,8
S15,全聯北區雙十店,24.1501,120.6877,北區,120,冷藏,,,12
S16,好市多北區中清店,24.1583,120.6679,北區,380,常溫,12:00,15:00,30
S17,全聯東區東英店,24.1359,120.7095,東區,90,冷藏,,,10
S18,全聯大里中興店,24.0987,120.6822,大里,155,冷藏,08:00,11:00,14
S19,全家大里國光店,24.1051,120.6766,大里,30,常溫,,,6
S20,全聯太平新平店,24.1259,120.7193,太平,110,冷藏,13:00,16:00,12
