from_id,DEPOT,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
DEPOT,0.0,19.2,18.7,20.9,22.4,17.0,24.3,23.7,8.4,10.3,9.1,6.7,9.2,7.7,17.8,18.4,14.2,23.4,22.2,20.4,25.9
S01,19.2,0.0,2.2,2.8,5.4,2.2,6.2,6.9,10.8,9.3,10.9,12.6,12.7,16.6,10.5,8.0,7.5,11.9,19.4,18.1,14.7
S02,18.7,2.2,0.0,5.0,7.6,2.8,5.7,5.8,10.3,9.4,11.0,12.2,13.1,16.9,12.2,9.9,8.6,14.0,21.2,19.9,16.9
S03,20.9,2.8,5.0,0.0,2.5,4.2,7.1,8.5,12.5,10.6,12.1,14.2,13.3,17.2,9.2,6.5,7.7,9.4,17.8,16.7,12.1
S04,22.4,5.4,7.6,2.5,0.0,6.5,8.8,10.5,14.3,12.1,13.4,15.8,14.3,18.0,8.4,5.9,8.5,7.4,16.5,15.6,9.8
S05,17.0,2.2,2.8,4.2,6.5,0.0,8.1,8.5,8.6,7.1,8.7,10.4,10.5,14.5,9.5,7.3,5.7,11.9,18.5,17.1,14.9
S06,24.3,6.2,5.7,7.1,8.8,8.1,0.0,2.1,16.0,15.0,16.7,17.9,18.6,22.5,16.2,13.6,13.7,16.2,24.9,23.8,18.6
S07,23.7,6.9,5.8,8.5,10.5,8.5,2.1,0.0,15.7,15.0,16.7,17.5,18.8,22.6,17.3,14.7,14.2,17.9,26.2,25.0,20.4
S08,8.4,10.8,10.3,12.5,14.3,8.6,16.0,15.7,0.0,2.6,2.8,1.9,5.2,7.9,11.7,11.3,6.9,16.7,18.8,17.0,19.5
S09,10.3,9.3,9.4,10.6,12.1,7.1,15.0,15.0,2.6,0.0,1.7,3.7,4.0,7.7,9.1,8.7,4.3,14.1,16.5,14.8,17.0
S10,9.1,10.9,11.0,12.1,13.4,8.7,16.7,16.7,2.8,1.7,0.0,3.0,2.6,6.0,9.4,9.5,5.2,14.7,16.0,14.2,17.4
S11,6.7,12.6,12.2,14.2,15.8,10.4,17.9,17.5,1.9,3.7,3.0,0.0,4.6,6.6,12.3,12.3,7.9,17.6,18.7,16.9,20.4
S12,9.2,12.7,13.1,13.3,14.3,10.5,18.6,18.8,5.2,4.0,2.6,4.6,0.0,3.9,8.7,9.5,5.8,14.2,14.1,12.3,16.7
S13,7.7,16.6,16.9,17.2,18.0,14.5,22.5,22.6,7.9,7.7,6.0,6.6,3.9,0.0,11.4,12.8,9.6,17.0,14.5,12.8,19.2
S14,17.8,10.5,12.2,9.2,8.4,9.5,16.2,17.3,11.7,9.1,9.4,12.3,8.7,11.4,0.0,2.6,5.1,5.6,9.0,7.7,8.1
S15,18.4,8.0,9.9,6.5,5.9,7.3,13.6,14.7,11.3,8.7,9.5,12.3,9.5,12.8,2.6,0.0,4.4,5.4,11.5,10.3,8.4
S16,14.2,7.5,8.6,7.7,8.5,5.7,13.7,14.2,6.9,4.3,5.2,7.9,5.8,9.6,5.1,4.4,0.0,9.8,13.6,12.0,12.7
S17,23.4,11.9,14.0,9.4,7.4,11.9,16.2,17.9,16.7,14.1,14.7,17.6,14.2,17.0,5.6,5.4,9.8,0.0,10.0,9.6,3.0
S18,22.2,19.4,21.2,17.8,16.5,18.5,24.9,26.2,18.8,16.5,16.0,18.7,14.1,14.5,9.0,11.5,13.6,10.0,0.0,1.8,9.7
S19,20.4,18.1,19.9,16.7,15.6,17.1,23.8,25.0,17.0,14.8,14.2,16.9,12.3,12.8,7.7,10.3,12.0,9.6,1.8,0.0,9.8
S20,25.9,14.7,16.9,12.1,9.8,14.9,18.6,20.4,19.5,17.0,17.4,20.4,16.7,19.2,8.1,8.4,12.7,3.0,9.7,9.8,0.0
