from_id,DEPOT,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
DEPOT,0.0,9.62,9.337,10.433,11.195,8.524,12.151,11.85,4.213,5.145,4.537,3.342,4.588,3.83,8.915,9.2,7.105,11.685,11.084,10.195,12.953
S01,9.62,0.0,1.111,1.416,2.685,1.108,3.077,3.452,5.407,4.663,5.464,6.294,6.326,8.288,5.23,3.984,3.753,5.929,9.722,9.075,7.337
S02,9.337,1.111,0.0,2.51,3.779,1.424,2.861,2.88,5.171,4.677,5.508,6.092,6.53,8.462,6.105,4.926,4.279,7.014,10.62,9.929,8.436
S03,10.433,1.416,2.51,0.0,1.27,2.122,3.561,4.259,6.27,5.314,6.037,7.094,6.672,8.611,4.575,3.253,3.839,4.714,8.914,8.358,6.058
S04,11.195,2.685,3.779,1.27,0.0,3.264,4.418,5.261,7.133,6.053,6.693,7.893,7.128,8.996,4.22,2.95,4.248,3.683,8.247,7.791,4.925
S05,8.524,1.108,1.424,2.122,3.264,0.0,4.061,4.256,4.313,3.559,4.366,5.192,5.269,7.226,4.747,3.64,2.864,5.968,9.256,8.544,7.438
S06,12.151,3.077,2.861,3.561,4.418,4.061,0.0,1.066,8.019,7.524,8.353,8.942,9.323,11.274,8.098,6.787,6.831,8.101,12.475,11.91,9.299
S07,11.85,3.452,2.88,4.259,5.261,4.256,1.066,0.0,7.829,7.501,8.334,8.752,9.397,11.315,8.656,7.374,7.114,8.925,13.111,12.497,10.183
S08,4.213,5.407,5.171,6.27,7.133,4.313,8.019,7.829,0.0,1.283,1.379,0.925,2.578,3.954,5.83,5.643,3.439,8.338,9.376,8.481,9.762
S09,5.145,4.663,4.677,5.314,6.053,3.559,7.524,7.501,1.283,0.0,0.833,1.856,2.003,3.828,4.558,4.371,2.164,7.057,8.268,7.389,8.479
S10,4.537,5.464,5.508,6.037,6.693,4.366,8.353,8.334,1.379,0.833,0.0,1.479,1.278,3.006,4.684,4.727,2.576,7.334,8.013,7.114,8.702
S11,3.342,6.294,6.092,7.094,7.893,5.192,8.942,8.752,0.925,1.856,1.479,0.0,2.321,3.279,6.163,6.158,3.967,8.797,9.343,8.435,10.177
S12,4.588,6.326,6.53,6.672,7.128,5.269,9.323,9.397,2.578,2.003,1.278,2.321,0.0,1.963,4.328,4.728,2.882,7.108,7.04,6.13,8.365
S13,3.83,8.288,8.462,8.611,8.996,7.226,11.274,11.315,3.954,3.828,3.006,3.279,1.963,0.0,5.723,6.403,4.785,8.5,7.263,6.38,9.598
S14,8.915,5.23,6.105,4.575,4.22,4.747,8.098,8.656,5.83,4.558,4.684,6.163,4.328,5.723,0.0,1.324,2.563,2.796,4.515,3.845,4.049
S15,9.2,3.984,4.926,3.253,2.95,3.64,6.787,7.374,5.643,4.371,4.727,6.158,4.728,6.403,1.324,0.0,2.206,2.718,5.743,5.129,4.186
S16,7.105,3.753,4.279,3.839,4.248,2.864,6.831,7.114,3.439,2.164,2.576,3.967,2.882,4.785,2.563,2.206,0.0,4.901,6.784,5.981,6.339
S17,11.685,5.929,7.014,4.714,3.683,5.968,8.101,8.925,8.338,7.057,7.334,8.797,7.108,8.5,2.796,2.718,4.901,0.0,4.979,4.783,1.492
S18,11.084,9.722,10.62,8.914,8.247,9.256,12.475,13.111,9.376,8.268,8.013,9.343,7.04,7.263,4.515,5.743,6.784,4.979,0.0,0.911,4.83
S19,10.195,9.075,9.929,8.358,7.791,8.544,11.91,12.497,8.481,7.389,7.114,8.435,6.13,6.38,3.845,5.129,5.981,4.783,0.911,0.0,4.912
S20,12.953,7.337,8.436,6.058,4.925,7.438,9.299,10.183,9.762,8.479,8.702,10.177,8.365,9.598,4.049,4.186,6.339,1.492,4.83,4.912,0.0
